tile_index,type,area,brightness_sum,mean_brightness,max_pixel,perimeter,compactness,eccentricity,centroid_y,centroid_x,color,source_image
1,planet,7.0,271.564208984375,20.889554977416992,21.279800415039062,10.828427076339722,0.75020015882688,0.5773501996194398,586.095238095238,372.0,"(255, 0, 0)",hs-1995-45-a-full_tif.tif
1,planet,6.0,258.11529541015625,21.509607315063477,24.49209976196289,10.0,0.7539822368615503,0.0,566.5,432.0,"(255, 0, 0)",hs-1995-45-a-full_tif.tif
1,planet,6.0,252.77548217773438,21.06462287902832,21.578699111938477,10.0,0.7539822368615503,0.0,543.5,471.0,"(255, 0, 0)",hs-1995-45-a-full_tif.tif
1,planet,6.0,256.4515075683594,21.37095832824707,23.040800094604492,10.0,0.7539822368615503,0.0,515.5,507.0,"(255, 0, 0)",hs-1995-45-a-full_tif.tif
1,galaxy,6354.5,162012.46875,24.3737735748291,33.388099670410156,625.6639941930771,0.20399002085252999,0.9522332036697567,559.8388018989167,492.374957379285,"(0, 0, 255)",hs-1995-45-a-full_tif.tif
2,galaxy,485.5,35503.890625,65.7479476928711,71.01820373535156,117.35533845424652,0.4429894645476075,0.7143160678202615,571.3360796429797,1054.7785787847579,"(0, 0, 255)",hs-1995-45-a-full_tif.tif
2,star,9.0,2306.345458984375,144.14659118652344,231.6595001220703,12.0,0.7853981633974483,0.0,541.5,868.5,"(0, 255, 255)",hs-1995-45-a-full_tif.tif
2,planet,8.0,955.6922607421875,63.71281814575195,63.95869827270508,12.0,0.6981317007977318,0.0,523.0,1034.0,"(255, 0, 0)",hs-1995-45-a-full_tif.tif
2,star,14.5,3225.704833984375,146.62294006347656,254.97450256347656,14.242640614509583,0.8982491906543907,0.4864179864260501,509.94252873563215,913.0574712643678,"(0, 255, 255)",hs-1995-45-a-full_tif.tif
2,star,6.0,1803.9112548828125,150.32594299316406,248.5175018310547,10.0,0.7539822368615503,0.0,480.5,568.0,"(0, 255, 255)",hs-1995-45-a-full_tif.tif
2,galaxy,5822.0,441186.34375,73.32331085205078,179.34449768066406,434.3919154405594,0.38772035106823294,0.9528321374222316,472.55384747509447,1056.618372838658,"(0, 0, 255)",hs-1995-45-a-full_tif.tif
3,star,8.0,1652.8292236328125,118.0592269897461,141.79429626464844,10.828427076339722,0.8573716100878628,0.7071067492167126,561.5,1223.5,"(0, 255, 255)",hs-1995-45-a-full_tif.tif
4,galaxy,1627.5,118613.34375,67.93433380126953,71.56639862060547,252.81118202209473,0.31999139732740417,0.9301950395315918,577.6032770097286,1718.4205837173579,"(0, 0, 255)",hs-1995-45-a-full_tif.tif
5,planet,13.5,936.8193969726562,37.472774505615234,37.937801361083984,21.41421353816986,0.3699468846125848,0.8539068080596055,585.5802469135803,2214.3456790123455,"(255, 0, 0)",hs-1995-45-a-full_tif.tif
5,planet,6.0,451.3119812011719,37.60933303833008,38.404598236083984,10.0,0.7539822368615503,0.0,584.0,2206.5,"(255, 0, 0)",hs-1995-45-a-full_tif.tif
5,planet,24.5,1399.6943359375,37.8295783996582,38.98080062866211,25.071067690849304,0.48981297971738624,0.9285330658236396,581.6598639455782,2202.578231292517,"(255, 0, 0)",hs-1995-45-a-full_tif.tif
5,planet,6.0,449.2185974121094,37.43488311767578,37.806800842285156,10.0,0.7539822368615503,0.0,575.0,2202.5,"(255, 0, 0)",hs-1995-45-a-full_tif.tif
5,planet,11.0,678.7381591796875,37.70767593383789,38.404598236083984,12.828427076339722,0.8399544390775809,0.695847245590294,576.0,2193.5,"(255, 0, 0)",hs-1995-45-a-full_tif.tif
5,planet,6.0,451.2257080078125,37.602142333984375,38.393798828125,10.0,0.7539822368615503,0.0,566.0,2216.5,"(255, 0, 0)",hs-1995-45-a-full_tif.tif
5,planet,26.0,1502.799072265625,37.569976806640625,38.70349884033203,28.485281109809875,0.4026634336635949,0.6644220837322703,558.3525641025641,2223.8846153846152,"(255, 0, 0)",hs-1995-45-a-full_tif.tif
5,planet,14.0,833.509765625,37.88680648803711,38.94850158691406,14.828427076339722,0.8001063703614795,0.7261533918541375,552.8928571428571,2220.190476190476,"(255, 0, 0)",hs-1995-45-a-full_tif.tif
5,planet,6.0,447.3265686035156,37.27721405029297,37.806800842285156,10.0,0.7539822368615503,0.0,549.5,2226.0,"(255, 0, 0)",hs-1995-45-a-full_tif.tif
5,planet,6.0,457.4320068359375,38.11933517456055,39.29050064086914,10.0,0.7539822368615503,0.0,519.5,2194.0,"(255, 0, 0)",hs-1995-45-a-full_tif.tif
5,galaxy,1362.5,56908.2578125,38.634254455566406,42.52439880371094,241.78174448013306,0.2928865048994208,0.6109299696291338,545.7645259938838,2199.158899082569,"(0, 0, 255)",hs-1995-45-a-full_tif.tif
5,planet,6.0,455.37200927734375,37.94766616821289,38.70349884033203,10.0,0.7539822368615503,0.0,513.5,2197.0,"(255, 0, 0)",hs-1995-45-a-full_tif.tif
5,galaxy,330.0,15375.177734375,37.963401794433594,40.92679977416992,162.08326029777527,0.1578510503514486,0.8786922302218092,441.9565656565656,2191.371717171717,"(0, 0, 255)",hs-1995-45-a-full_tif.tif
5,planet,15.0,970.5146484375,37.32748794555664,38.5463981628418,20.82842707633972,0.43449839336978835,0.8364437943451966,425.6666666666667,2199.9333333333334,"(255, 0, 0)",hs-1995-45-a-full_tif.tif
5,planet,6.0,443.8283996582031,36.98569869995117,37.54650115966797,10.0,0.7539822368615503,0.0,380.5,2212.0,"(255, 0, 0)",hs-1995-45-a-full_tif.tif
5,galaxy,719.0,31248.994140625,37.78596496582031,40.92679977416992,233.0538227558136,0.16635133571683106,0.7119411306773372,394.8229021789522,2194.381548446917,"(0, 0, 255)",hs-1995-45-a-full_tif.tif
7,star,7.5,2352.513916015625,156.83425903320312,158.24789428710938,13.41421353816986,0.5237700925094588,0.9420888675650241,1174.1777777777777,980.911111111111,"(0, 255, 255)",hs-1995-45-a-full_tif.tif
7,comet,62.5,12602.59375,157.5324249267578,160.4434051513672,35.071067690849304,0.638545584599592,0.867416837523859,1172.2613333333334,957.2693333333333,"(0, 255, 0)",hs-1995-45-a-full_tif.tif
7,planet,26.0,6118.2412109375,156.8779754638672,159.514404296875,24.82842707633972,0.5300108957573295,0.849047794986362,1163.6153846153848,968.8076923076924,"(255, 0, 0)",hs-1995-45-a-full_tif.tif
7,planet,26.0,5933.8583984375,156.1541748046875,157.81350708007812,23.656854152679443,0.5838069048140817,0.7272517499426698,1155.9358974358975,963.4102564102564,"(255, 0, 0)",hs-1995-45-a-full_tif.tif
7,comet,205.0,37328.9296875,158.17343139648438,162.69900512695312,65.79898953437805,0.5950113862421218,0.7533097123200615,1153.0170731707317,977.8853658536585,"(0, 255, 0)",hs-1995-45-a-full_tif.tif
7,star,17.0,5215.3251953125,208.61300659179688,254.97450256347656,15.656854152679443,0.8714646463829057,0.6037522360688586,969.9117647058824,1074.4117647058824,"(0, 255, 255)",hs-1995-45-a-full_tif.tif
7,planet,20.0,6529.59326171875,225.15838623046875,254.97450256347656,17.656854152679443,0.8061450660379307,0.7320737351727056,963.2,716.0,"(255, 0, 0)",hs-1995-45-a-full_tif.tif
8,comet,62.0,13792.224609375,166.17138671875,170.8679962158203,42.485281229019165,0.4316428573170951,0.637891736998076,1172.467741935484,1166.8225806451612,"(0, 255, 0)",hs-1995-45-a-full_tif.tif
9,star,11.0,2720.185302734375,151.12139892578125,230.97349548339844,12.828427076339722,0.8399544390775809,0.0,1041.3939393939395,1689.0,"(0, 255, 255)",hs-1995-45-a-full_tif.tif
10,comet,96.0,5509.2822265625,45.158050537109375,46.92620086669922,52.485281229019165,0.4379313539377682,0.9366887350189513,1101.7552083333335,2188.090277777778,"(0, 255, 0)",hs-1995-45-a-full_tif.tif
11,galaxy,5217.0,866177.125,157.45811462402344,235.3175048828125,611.5634886026382,0.17528614988900654,0.9850053161856691,1748.0561305986837,354.8348667816753,"(0, 0, 255)",hs-1995-45-a-full_tif.tif
12,star,6.0,3042.157470703125,253.51312255859375,254.97450256347656,10.0,0.7539822368615503,0.0,1689.5,1072.0,"(0, 255, 255)",hs-1995-45-a-full_tif.tif
12,star,8.0,3549.372314453125,253.52659606933594,254.97450256347656,10.828427076339722,0.8573716100878628,0.7071067492167126,1619.5,1085.5,"(0, 255, 255)",hs-1995-45-a-full_tif.tif
12,comet,66.5,21077.181640625,253.9419403076172,254.97450256347656,32.24264061450958,0.8038412787590178,0.5325293860625677,1557.8045112781956,1045.889724310777,"(0, 255, 0)",hs-1995-45-a-full_tif.tif
14,star,14.5,4164.75048828125,189.3068389892578,254.97450256347656,14.242640614509583,0.8982491906543907,0.4864179864260501,1738.942528735632,1673.057471264368,"(0, 255, 255)",hs-1995-45-a-full_tif.tif
14,galaxy,305.0,53798.5859375,149.85678100585938,194.3144989013672,120.91168737411499,0.262164051123994,0.5411932203676394,1621.3901639344263,1646.4825136612021,"(0, 0, 255)",hs-1995-45-a-full_tif.tif
14,star,8.5,2190.79833984375,146.05322265625,151.48330688476562,11.41421353816986,0.8198545354117053,0.5345224793362238,1590.4313725490197,1653.4313725490197,"(0, 255, 255)",hs-1995-45-a-full_tif.tif
14,star,9.0,2310.07373046875,144.37960815429688,147.7572021484375,12.828427076339722,0.6872354501543845,0.7071067494818721,1469.5,1638.9259259259259,"(0, 255, 255)",hs-1995-45-a-full_tif.tif
14,star,6.0,2030.04150390625,145.00296020507812,148.21319580078125,14.0,0.38468481472528077,0.0,1440.0,1638.5,"(0, 255, 255)",hs-1995-45-a-full_tif.tif
14,comet,135.5,25177.73828125,146.3822021484375,160.10870361328125,78.04163014888763,0.2795738160074847,0.3516115980084238,1429.0528905289052,1645.931119311193,"(0, 255, 0)",hs-1995-45-a-full_tif.tif
14,star,8.0,2001.111083984375,142.93650817871094,144.38319396972656,10.828427076339722,0.8573716100878628,0.7071067492167126,1412.5,1687.5,"(0, 255, 255)",hs-1995-45-a-full_tif.tif
14,planet,28.0,5503.52490234375,144.82960510253906,149.8404998779297,20.485281229019165,0.8384632543695658,0.7074152706758038,1377.357142857143,1701.607142857143,"(255, 0, 0)",hs-1995-45-a-full_tif.tif
14,comet,281.5,46303.93359375,146.53143310546875,180.09060668945312,77.35533833503723,0.5911635973783518,0.539827333124435,1364.0183540556543,1651.6648904677324,"(0, 255, 0)",hs-1995-45-a-full_tif.tif
15,comet,105.5,5276.537109375,39.9737663269043,41.376399993896484,54.72792184352875,0.4426336320235689,0.9384199793278122,1758.0505529225907,2231.5308056872036,"(0, 255, 0)",hs-1995-45-a-full_tif.tif
15,planet,11.5,744.6755981445312,39.193450927734375,39.39820098876953,13.41421353816986,0.8031141418478369,0.5797833703044806,1747.550724637681,2194.927536231884,"(255, 0, 0)",hs-1995-45-a-full_tif.tif
15,planet,8.0,557.697021484375,39.83550262451172,40.789398193359375,10.828427076339722,0.8573716100878628,0.7071067492167126,1744.5,2229.5,"(255, 0, 0)",hs-1995-45-a-full_tif.tif
15,galaxy,440.0,21008.865234375,39.71430206298828,42.088199615478516,192.56854152679443,0.14910488021635346,0.9592295475679856,1714.1223484848483,2188.925,"(0, 0, 255)",hs-1995-45-a-full_tif.tif
15,planet,26.5,1559.581787109375,43.32171630859375,48.0723991394043,19.071067690849304,0.9155998707243022,0.5032028432475539,1530.874213836478,2286.4025157232704,"(255, 0, 0)",hs-1995-45-a-full_tif.tif
15,comet,94.5,7070.45849609375,63.69782257080078,105.23200225830078,36.3847758769989,0.8970202853098495,0.4099040408645739,1447.2874779541446,2694.622574955908,"(0, 255, 0)",hs-1995-45-a-full_tif.tif
16,comet,74.5,23375.87109375,248.67947387695312,254.97450256347656,39.899494767189026,0.5880731404353877,0.8197751919729862,2230.0380313199103,168.33333333333331,"(0, 255, 0)",hs-1995-45-a-full_tif.tif
16,comet,161.0,47736.71875,248.6287384033203,254.97450256347656,64.14213538169861,0.4917551443326929,0.671281763013715,2210.2608695652175,504.2567287784679,"(0, 255, 0)",hs-1995-45-a-full_tif.tif
